,MONTH,SERVICE_CATEGORY,CLAIM_SPECIALTY,PAYER,PAID_AMOUNT,YEAR
31,01,Ancillary FFS,CCS,CO,818,2018
32,01,Ancillary FFS,CHIROPRACTIC,UN,0,2018
33,01,Ancillary FFS,CLINICAL LABORATORY,S,2711,2018
34,01,Ancillary FFS,COLON RECTAL SURGEON,B,0,2018
35,01,Ancillary FFS,COMMUNITY MENTAL HEALTH CENTER,W,309,2018
36,01,Ancillary FFS,COMMUNITY MENTAL HEALTH CENTER,F,7502,2018
37,01,Ancillary FFS,CONV CARE CLINIC,W,194,2018
38,01,Ancillary FFS,COVERING PHYSICAL,CA,0,2018
39,01,Ancillary FFS,CRITICAL ACCESS,W,4212,2018
40,01,Ancillary FFS,OTHER SPECIALITY,W,227,2018
41,01,Ancillary FFS,DEFAULT,F,27436,2018
42,01,Ancillary FFS,DEFAULT,O,9600,2018
43,01,Ancillary FFS,DERMAPATHOLOGY,B,0,2018
44,01,Ancillary FFS,DERMAPATHOLOGY,CA,610,2018
45,01,Ancillary FFS,DERMAPATHOLOGY,CO,400,2018
46,01,Ancillary FFS,DERMAPATHOLOGY,UN,-614,2018
47,01,Ancillary FFS,DERMAPATHOLOGY,W,878,2018
48,01,Ancillary FFS,DERMAPATHOLOGY,F,10262,2018
49,01,Ancillary FFS,DERMAPATHOLOGY,UN,0,2018
50,01,Ancillary FFS,OTHER SPECIALITY,CA,2226,2018
51,01,Ancillary FFS,DIAG X RAY CLINIC,H,1757,2018
52,01,Ancillary FFS,RADIOLOGY,CA,3244,2018
53,01,Ancillary FFS,RADIOLOGY,CO,57,2018
54,01,Ancillary FFS,DIAGNOSTIC RADIOLOGY,UN,373,2018
55,01,Ancillary FFS,DIAL,CO,37949,2018
56,01,Ancillary FFS,DIALYSIS,CA,263269,2018
57,01,Ancillary FFS,DIALYSIS,S,122825,2018
58,01,Ancillary FFS,DIALYSIS,W,136718,2018
59,01,Ancillary FFS,DIALYSIS,H,6161,2018
60,01,Ancillary FFS,DISEASE MANAGEMENT,CA,7109,2018
61,01,Ancillary FFS,MEDICAL SUPPLIER DME,S,1977,2018
62,01,Ancillary FFS,DOCTOR OF PSYCHIATRIC,UN,0,2018
63,01,Ancillary FFS,DURABLE MED EQUIPMENT,CO,155608,2018
64,01,Ancillary FFS,DURABLE MEDICAL EQUIPMENT,B,6185,2018
65,01,Ancillary FFS,DURABLE MEDICAL EQUIPMENT,CA,197259,2018
66,01,Ancillary FFS,DURABLE MEDICAL EQUIPMENT,S,195761,2018
67,01,Ancillary FFS,DURABLE MEDICAL EQUIPMENT,W,71490,2018
68,01,Ancillary FFS,DURABLE MEDICAL SUPPLY,UN,21002,2018
69,01,Ancillary FFS,EMERGENCY MEDICAL,F,84834,2018
70,01,Ancillary FFS,EMERGENCY MEDICAL,O,6035,2018
71,01,Ancillary FFS,EMERGENCY MEDICAL,S,0,2018
72,01,Ancillary FFS,EMERGENCY MEDICAL,UN,240,2018
73,01,Ancillary FFS,EMERGENCY ROOM,CA,361,2018
74,01,Ancillary FFS,EMERGENCY ROOM,W,7510,2018
75,01,Ancillary FFS,END STAGE RENAL DISEASE ESRD TREATMENT,S,14997,2018
76,01,Ancillary FFS,ENDOCRINOLOGY,F,34102,2018
77,01,Ancillary FFS,ENDOCRINOLOGY,O,1369,2018
78,01,Ancillary FFS,ENDOCRINOLOGY,UN,0,2018
79,01,Ancillary FFS,ENT,W,425,2018
80,01,Ancillary FFS,FAMILY PRACTICE,CA,532,2018
81,01,Ancillary FFS,FAMILY PRACTICE,B,0,2018
82,01,Ancillary FFS,FAMILY PRACTICE,CA,16602,2018
83,01,Ancillary FFS,FAMILY PRACTICE,F,279445,2018
84,01,Ancillary FFS,FAMILY PRACTICE,O,41429,2018
85,01,Ancillary FFS,FAMILY PRACTICE,S,2025,2018
86,01,Ancillary FFS,FAMILY PRACTICE,UN,151,2018
87,01,Ancillary FFS,FAMILY PRACTICE,W,5936,2018
88,01,Ancillary FFS,FITNESS,S,3427,2018
89,01,Ancillary FFS,FQHC,W,3764,2018
90,01,Ancillary FFS,GASTROENTEROLOGY,CA,1392,2018
91,01,Ancillary FFS,GASTROENTEROLOGY,F,3278,2018
92,01,Ancillary FFS,GENERAL PRACTICE,CA,7118,2018
93,01,Ancillary FFS,GENERAL PRACTICE,F,81072,2018
94,01,Ancillary FFS,GENERAL PRACTICE,O,8463,2018
95,01,Ancillary FFS,GENERAL PRACTICE,UN,751,2018
96,01,Ancillary FFS,GENERAL PRACTICE,W,1552,2018
97,01,Ancillary FFS,GENERAL SURGEON,CA,1878,2018
98,01,Ancillary FFS,GENERAL SURGEON,F,1855,2018
99,01,Ancillary FFS,GENERAL SURGEON,O,239,2018
100,01,Ancillary FFS,GENERAL SURGEON,UN,61,2018
101,01,Ancillary FFS,GENERAL SURGEON,W,2248,2018
102,01,Ancillary FFS,GERIATRIC,UN,-803,2018
103,01,Ancillary FFS,GERIATRIC,B,-811,2018
104,01,Ancillary FFS,OBSTETRICS GYNECOLOGIC,UN,0,2018
105,01,Ancillary FFS,HEARING SERVICE,CA,0,2018
106,01,Ancillary FFS,HEMATOLOGY ONCOLOGIC,CA,492,2018
107,01,Ancillary FFS,HEMATOLOGY ONCOLOGIC,CO,884,2018
108,01,Ancillary FFS,HEMATOLOGY ONCOLOGIC,F,5006,2018
109,01,Ancillary FFS,HEMATOLOGY ONCOLOGIC,O,782,2018
110,01,Ancillary FFS,HEMATOLOGY ONCOLOGIC,S,589,2018
111,01,Ancillary FFS,HOME DELIVERED MEALS,S,468,2018
112,01,Ancillary FFS,HOME HEALTH AGENCY,F,1981581,2018
113,01,Ancillary FFS,HOME HEALTH AGENCY,O,458309,2018
114,01,Ancillary FFS,HOME HEALTH AGENCY,CO,45286,2018
115,01,Ancillary FFS,HOME HEALTH AGENCY,W,184015,2018
116,01,Ancillary FFS,HOME HEALTH CARE,CA,9103,2018
117,01,Ancillary FFS,HOME HEALTH CARE,UN,8501,2018
118,01,Ancillary FFS,HOME HEALTH,H,392051,2018
119,01,Ancillary FFS,HOS ANCILLARY,F,10408,2018
120,01,Ancillary FFS,HOS ANCILLARY,O,1991,2018
121,01,Ancillary FFS,HOSPICE,F,3437,2018
122,01,Ancillary FFS,HOSPICE,CA,14829,2018
123,01,Ancillary FFS,HOSPICE,F,1749,2018
124,01,Ancillary FFS,HOSPICE,UN,270,2018
125,01,Ancillary FFS,HOSPICE,W,1454080,2018
126,01,Ancillary FFS,HOSPICE ACUTE CARE,B,0,2018
127,01,Ancillary FFS,HOSPICE,CO,2551,2018
128,01,Ancillary FFS,HOSPICE,F,2002,2018
129,01,Ancillary FFS,HOSPICE,W,935,2018
130,01,Ancillary FFS,UNDERSEA AND HYPERBARIC MEDICAL,S,8189,2018
131,01,Ancillary FFS,INDEPENDENT LAB,F,169894,2018
132,01,Ancillary FFS,INDEPENDENT LAB,H,37228,2018
133,01,Ancillary FFS,INDEPENDENT LAB,O,172291,2018
134,01,Ancillary FFS,INFECTIOUS DISEASE,F,3622,2018
135,01,Ancillary FFS,INFECTIOUS DISEASE,O,1291,2018
136,01,Ancillary FFS,INFECTIOUS DISEASE,CA,2666,2018
137,01,Ancillary FFS,INFUSION CARE,W,24140,2018
138,01,Ancillary FFS,INFUSION PROVIDER,O,26621,2018
139,01,Ancillary FFS,INTERNAL MEDICAL,B,0,2018
140,01,Ancillary FFS,INTERNAL MEDICAL,CA,7073,2018
141,01,Ancillary FFS,INTERNAL MEDICAL,F,78440,2018
142,01,Ancillary FFS,INTERNAL MEDICAL,O,31236,2018
143,01,Ancillary FFS,INTERNAL MEDICAL,S,1659,2018
144,01,Ancillary FFS,INTERNAL MEDICAL,UN,-2120,2018
145,01,Ancillary FFS,INTERNAL MEDICAL,W,3539,2018
146,01,Ancillary FFS,CARDIAC,CA,0,2018
147,01,Ancillary FFS,CARDIAC,F,116,2018
148,01,Ancillary FFS,CARDIAC,O,1830,2018
149,01,Ancillary FFS,CARDIAC,W,286,2018
150,01,Ancillary FFS,LABORATORY,CA,405873,2018
151,01,Ancillary FFS,LABORATORY,CO,22009,2018
152,01,Ancillary FFS,LABORATORY,S,30897,2018
153,01,Ancillary FFS,LABORATORY,UN,124437,2018
154,01,Ancillary FFS,LABORATORY,W,158277,2018
155,01,Ancillary FFS,CLINICAL,B,68765,2018
156,01,Ancillary FFS,MEDICAL DOCTOR,H,79255,2018
157,01,Ancillary FFS,MEDICAL SUPPLIER DME,F,926071,2018
158,01,Ancillary FFS,MEDICAL SUPPLIER DME,O,154074,2018
159,01,Ancillary FFS,COMMUNITY MENTAL HEALTH CENTER,W,308,2018
160,01,Ancillary FFS,MENTAL HEALTH,F,0,2018
161,01,Ancillary FFS,OTHER SPECIALITY,W,16306,2018
162,01,Ancillary FFS,CLINIC,B,556,2018
163,01,Ancillary FFS,MOBIL,W,483,2018
164,01,Ancillary FFS,DIAGNOSTIC,CA,1232,2018
165,01,Ancillary FFS,NEPHROLOGY,CA,12808,2018
166,01,Ancillary FFS,NEPHROLOGY,CO,2249,2018
167,01,Ancillary FFS,NEPHROLOGY,F,70092,2018
168,01,Ancillary FFS,NEPHROLOGY,O,18097,2018
169,01,Ancillary FFS,NEPHROLOGY,S,10114,2018
170,01,Ancillary FFS,NEPHROLOGY,UN,0,2018
171,01,Ancillary FFS,NEPHROLOGY,W,9604,2018
172,01,Ancillary FFS,NEUROLOGICAL,CA,474,2018
173,01,Ancillary FFS,NEUROLOGICAL,CA,6233,2018
174,01,Ancillary FFS,NEUROLOGICAL,UN,0,2018
175,01,Ancillary FFS,NEUROLOGICAL,F,8274,2018
176,01,Ancillary FFS,NEUROLOGICAL,UN,0,2018
177,01,Ancillary FFS,NON EMERGENCY TRANSFU,S,19873,2018
178,01,Ancillary FFS,NOTPROVIDED,B,2866,2018
179,01,Ancillary FFS,NURSE PRACTICE,CA,1633,2018
180,01,Ancillary FFS,NURSE PRACTICE,CO,1721,2018
181,01,Ancillary FFS,NURSE PRACTICE,UN,0,2018
182,01,Ancillary FFS,NURSE PRACTICE,H,3312,2018
183,01,Ancillary FFS,OBSTETRICS GYNECOLOGIC,O,319,2018
184,01,Ancillary FFS,OBSTETRICS GYNECOLOGIC,W,226,2018
185,01,Ancillary FFS,OBSTETRICS GYNECOLOGIC,UN,0,2018
186,01,Ancillary FFS,HEMATOLOGY ONCOLOGIC,F,0,2018
187,01,Ancillary FFS,HEMATOLOGY ONCOLOGIC,O,877,2018
188,01,Ancillary FFS,HEMATOLOGY ONCOLOGIC,UN,0,2018
189,01,Ancillary FFS,OPHTHALMOLOGY,CA,1093,2018
190,01,Ancillary FFS,OPTHALMOLOGY,UN,-1342,2018
191,01,Ancillary FFS,OPTOMETRIST,UN,0,2018
192,01,Ancillary FFS,ORTHOPAEDIC SURGEON,CA,620,2018
193,01,Ancillary FFS,ORTHOPAEDIC SURGEON,B,0,2018
194,01,Ancillary FFS,ORTHOPAEDIC SURGEON,CA,2453,2018
195,01,Ancillary FFS,ORTHOPAEDIC SURGEON,F,3813,2018
196,01,Ancillary FFS,ORTHOPAEDIC SURGEON,O,758,2018
197,01,Ancillary FFS,ORTHOPAEDIC SURGEON,UN,-929,2018
198,01,Ancillary FFS,ORTHOPAEDIC SURGEON,F,139,2018
199,01,Ancillary FFS,ORTHOPAEDIC,CA,129638,2018
200,01,Ancillary FFS,ORTHOPAEDIC,CO,475,2018
201,01,Ancillary FFS,ORTHOPAEDIC,W,8491,2018
202,01,Ancillary FFS,OSTEOMANIPULATIVE,H,4801,2018
203,01,Ancillary FFS,OTHER,CA,4494,2018
204,01,Ancillary FFS,OTHERS,F,3070,2018
205,01,Ancillary FFS,OTHERS,O,639,2018
206,01,Ancillary FFS,OUT OF COUNTRY PROVIDER,F,15132,2018
207,01,Ancillary FFS,PAIN MANAGEMENT,B,0,2018
208,01,Ancillary FFS,PAIN MANAGEMENT,CA,957,2018
209,01,Ancillary FFS,PAIN MANAGEMENT,UN,163,2018
210,01,Ancillary FFS,PAIN MANAGEMENT,W,2966,2018
211,01,Ancillary FFS,PATHOLOG,CA,11523,2018
212,01,Ancillary FFS,PATHOLOG,CO,6836,2018
213,01,Ancillary FFS,PATHOLOG,F,27083,2018
214,01,Ancillary FFS,PATHOLOG,O,3697,2018
215,01,Ancillary FFS,PATHOLOG,UN,8022,2018
216,01,Ancillary FFS,PATHOLOG,S,1974,2018
217,01,Ancillary FFS,OTHER SPECIALITY,W,326,2018
218,01,Ancillary FFS,PEDIATRIC,CA,328,2018
219,01,Ancillary FFS,PEDIATRIC,F,2321,2018
220,01,Ancillary FFS,PEDIATRIC,O,2293,2018
221,01,Ancillary FFS,PERSONAL EMERGENCY RESPONSE SYSTEM,S,169,2018
222,01,Ancillary FFS,PHARMACIES,B,556,2018
223,01,Ancillary FFS,PHYS MEDICAL REHAB,F,4530,2018
224,01,Ancillary FFS,PHYS MEDICAL REHAB,O,8655,2018
225,01,Ancillary FFS,PHYSICAL MEDICAL REHAB,CA,2289,2018
226,01,Ancillary FFS,PHYSICAL THERAPEUTIC,CA,2850,2018
227,01,Ancillary FFS,PHYSICAL THERAPEUTIC,UN,1150,2018
228,01,Ancillary FFS,PHYSICAL THERAPEUTIC,W,0,2018
229,01,Ancillary FFS,PHYSICAL ASSISTANT,H,3410,2018
230,01,Ancillary FFS,PHYSICAL ASSISTANT,S,667,2018
231,01,Ancillary FFS,PHYSICAL ASSISTANT,UN,0,2018
232,01,Ancillary FFS,PLASTIC SURGEON,CA,1106,2018
233,01,Ancillary FFS,PODIATRIST,S,1418,2018
234,01,Ancillary FFS,PODIATRIST,H,7180,2018
235,01,Ancillary FFS,SURGEON,S,729,2018
236,01,Ancillary FFS,PODIATRIST,B,0,2018
237,01,Ancillary FFS,PODIATRIST,CA,3869,2018
238,01,Ancillary FFS,PODIATRIST,CO,797,2018
239,01,Ancillary FFS,PODIATRIST,F,5092,2018
240,01,Ancillary FFS,PODIATRIST,O,1847,2018
241,01,Ancillary FFS,PODIATRIST,UN,63,2018
242,01,Ancillary FFS,PODIATRIST,W,1058,2018
243,01,Ancillary FFS,PREVENTIVE MEDICAL,F,1506,2018
244,01,Ancillary FFS,PREVENTIVE MEDICAL,O,416,2018
245,01,Ancillary FFS,ORTHOPAEDIC,F,130399,2018
246,01,Ancillary FFS,ORTHOPAEDIC,O,28119,2018
247,01,Ancillary FFS,ORTHOPAEDIC PROSTHETIC,S,2298,2018
248,01,Ancillary FFS,OTHER SPECIALITY,F,1927,2018
249,01,Ancillary FFS,OTHER SPECIALITY,O,1024,2018
250,01,Ancillary FFS,OTHER SPECIALITY,H,255,2018
251,01,Ancillary FFS,HOSPICE,W,69110,2018
252,01,Ancillary FFS,PSYCHIATRIC,CA,0,2018
253,01,Ancillary FFS,PSYCHIATRIC,W,7371,2018
254,01,Ancillary FFS,PSYCHIATRIC,UN,0,2018
255,01,Ancillary FFS,PSYCHIATRIC,W,1801,2018
256,01,Ancillary FFS,PUBL,CO,169,2018
257,01,Ancillary FFS,PULMONARY DISEASE,F,3674,2018
258,01,Ancillary FFS,PULMONARY DISEASE,O,55,2018
259,01,Ancillary FFS,PULMONARY DISEASE,B,0,2018
260,01,Ancillary FFS,PULMONARY DISEASE,CA,526,2018
261,01,Ancillary FFS,PULMONARY DISEASE,W,3261,2018
262,01,Ancillary FFS,PULMONARY DISEASE,UN,0,2018
263,01,Ancillary FFS,ONCOLOGIC,CA,19537,2018
264,01,Ancillary FFS,ONCOLOGIC,CO,3340,2018
265,01,Ancillary FFS,ONCOLOGIC,F,17762,2018
266,01,Ancillary FFS,RADIOLOGY,F,16264,2018
267,01,Ancillary FFS,RADIOLOGY,O,1303,2018
268,01,Ancillary FFS,RADIOLOGY,UN,-21655,2018
269,01,Ancillary FFS,RADIOLOGY,W,1047,2018
270,01,Ancillary FFS,RADIOLOGY,UN,783,2018
271,01,Ancillary FFS,DIAGNOSTIC RADIOLOGY,S,209,2018
272,01,Ancillary FFS,RADIOLOGY IMAGING CENTER,B,0,2018
273,01,Ancillary FFS,RADIOLOGY IMAGING PROVIDER,F,27818,2018
274,01,Ancillary FFS,RADIOLOGY IMAGING PROVIDER,O,2149,2018
275,01,Ancillary FFS,RADIOLOGY,UN,0,2018
276,01,Ancillary FFS,REHABILITATION CENTER,UN,0,2018
277,01,Ancillary FFS,REHABILITATION FACILITY,B,0,2018
278,01,Ancillary FFS,REHABILITATION FACILITY,W,0,2018
279,01,Ancillary FFS,HOSPICE,B,178,2018
280,01,Ancillary FFS,RENAL DIALYSIS FACILITY,F,1673676,2018
281,01,Ancillary FFS,RENAL DIALYSIS FACILITY,O,166799,2018
282,01,Ancillary FFS,RHEUMATOLOGY,UN,0,2018
283,01,Ancillary FFS,SKILLED NURSING FACILITY,CA,4991,2018
284,01,Ancillary FFS,SKILLED NURSING FACILITY,W,186015,2018
285,01,Ancillary FFS,SLEEP CENTER,CA,2872,2018
286,01,Ancillary FFS,SLEEP CENTER,W,8448,2018
287,01,Ancillary FFS,SLEEP DIAGNOSTIC FACILITY,F,51083,2018
288,01,Ancillary FFS,SLEEP DIAGNOSTIC FACILITY,O,10790,2018
289,01,Ancillary FFS,SLEEP MEDICAL,S,1395,2018
290,01,Ancillary FFS,SPC FCLY CA HOSPICE,F,19888,2018
291,01,Ancillary FFS,SPECIAL SERVICE,H,157205,2018
292,01,Ancillary FFS,SUBST,W,15095,2018
293,01,Ancillary FFS,VASCULAR SURGEON,UN,1264,2018
294,01,Ancillary FFS,ONCOLOGIC,CA,1277,2018
295,01,Ancillary FFS,OTHER SPECIALITY,CO,1241,2018
296,01,Ancillary FFS,TRANSFU HEPATITIS,S,1285,2018
297,01,Ancillary FFS,OTHER SPECIALITY,CO,385,2018
298,01,Ancillary FFS,URGENT CARE CENTER,B,808,2018
299,01,Ancillary FFS,URGENT CARE CENTER,CA,40332,2018
300,01,Ancillary FFS,URGENT CARE CENTER,F,5833,2018
301,01,Ancillary FFS,URGENT CARE CENTER,O,1761,2018
302,01,Ancillary FFS,URGENT CARE CENTER,W,13856,2018
303,01,Ancillary FFS,URGENT CARE FACILITY,UN,12593,2018
304,01,Ancillary FFS,URGENT CARE MEDICAL,F,4500,2018
305,01,Ancillary FFS,UROLOGY,B,1640,2018
306,01,Ancillary FFS,UROLOGY,CA,885,2018
307,01,Ancillary FFS,UROLOGY,UN,-2004,2018
308,01,Ancillary FFS,VASCULAR SURGEON,F,1185,2018
309,01,Ancillary FFS,VISION,F,186682,2018
310,01,Ancillary FFS,VISION,O,113955,2018
311,01,Ancillary FFS,WOUND CARE SPECIAL,F,10263,2018
312,01,Ancillary FFS,WOUND CARE SPECIAL,O,25545,2018
313,01,Ancillary FFS,WOUNDCARE,CA,12791,2018
314,01,ASC Services,UNKNOWN,F,2454,2018
315,01,ASC Services,SURGICAL CENTER,CO,21289,2018
316,01,ASC Services,AMBULANCE SURGEON CENTER,B,16623,2018
317,01,ASC Services,AMBULANCE SURGICAL CENTER,CA,401722,2018
318,01,ASC Services,AMBULANCE SURGICAL CENTER,F,311242,2018
319,01,ASC Services,AMBULANCE SURGICAL CENTER,O,44462,2018
320,01,ASC Services,AMBULANCE SURGICAL CENTER,S,19812,2018
321,01,ASC Services,AMBULANCE SURGICAL CENTER,W,39568,2018
322,01,ASC Services,AMBULANCE SURGICAL CENTERS,UN,54441,2018
323,01,ASC Services,ANES ASSIST,CA,868,2018
324,01,ASC Services,ANESTHESIA,H,56030,2018
325,01,ASC Services,ANESTHESIA,CA,112526,2018
326,01,ASC Services,ANESTHESIA,CO,10589,2018
327,01,ASC Services,ANESTHESIA,F,190269,2018
328,01,ASC Services,ANESTHESIA,O,41488,2018
329,01,ASC Services,ANESTHESIA,S,3304,2018
330,01,ASC Services,ANESTHESIA,UN,8921,2018
331,01,ASC Services,ANESTHESIA,W,15830,2018
332,01,ASC Services,ARNP,CA,660,2018
333,01,ASC Services,ASC,F,1210980,2018
334,01,ASC Services,ASC,O,327700,2018
335,01,ASC Services,CARDIAC,F,827,2018
336,01,ASC Services,CARDIAC,O,1801,2018
337,01,ASC Services,CARDIAC,CA,1015,2018
338,01,ASC Services,CERTIFICATION REGISTERED NURSE ANESTHESIA,B,6165,2018
339,01,ASC Services,COLON RECTAL SURGEON,B,3473,2018
340,01,ASC Services,DURABLE MEDICAL EQUIPMENT,CA,0,2018
341,01,ASC Services,DURABLE MEDICAL EQUIPMENT,W,0,2018
342,01,ASC Services,DURABLE MEDICAL SUPPLY,UN,0,2018
343,01,ASC Services,ENT,CA,1159,2018
344,01,ASC Services,ENT,F,1793,2018
345,01,ASC Services,ENT,O,771,2018
346,01,ASC Services,GASTROENTEROLOGY,B,1737,2018
347,01,ASC Services,GASTROENTEROLOGY,CA,77874,2018
348,01,ASC Services,GASTROENTEROLOGY,CO,5216,2018
349,01,ASC Services,GASTROENTEROLOGY,F,173807,2018
350,01,ASC Services,GASTROENTEROLOGY,O,40897,2018
351,01,ASC Services,GASTROENTEROLOGY,S,14405,2018
352,01,ASC Services,GASTROENTEROLOGY,UN,4864,2018
353,01,ASC Services,GASTROENTEROLOGY,W,20133,2018
354,01,ASC Services,GENERAL SURGEON,F,3595,2018
355,01,ASC Services,GENERAL SURGEON,O,2301,2018
356,01,ASC Services,OBSTETRICS GYNECOLOGIC,F,4053,2018
357,01,ASC Services,HAND SURGEON,F,14562,2018
358,01,ASC Services,INDEPENDENT LAB,F,9573,2018
359,01,ASC Services,INDEPENDENT LAB,O,2680,2018
360,01,ASC Services,INTERNAL MEDICAL,CO,1039,2018
361,01,ASC Services,LABORATORY,W,424,2018
362,01,ASC Services,MEDICAL DOCTOR,H,141232,2018
363,01,ASC Services,NEPHROLOGY,F,2881,2018
364,01,ASC Services,NEUROLOGICAL,CA,499,2018
365,01,ASC Services,NEUROLOGICAL,W,3001,2018
366,01,ASC Services,ANESTHESIA,H,1017,2018
367,01,ASC Services,CERTIFICATION REGISTERED NURSE ANESTHESIA,S,2744,2018
368,01,ASC Services,NURSE PRACTICE,UN,878,2018
369,01,ASC Services,OBSTETRICS GYNECOLOGIC,CA,1048,2018
370,01,ASC Services,OPHTHALMOLOGY,CA,51705,2018
371,01,ASC Services,OPHTHALMOLOGY,W,0,2018
372,01,ASC Services,OPHTHALMOLOGY,B,2135,2018
373,01,ASC Services,OPTHALMOLOGY,UN,56910,2018
374,01,ASC Services,ORTHOPAEDIC SURGEON,CA,20592,2018
375,01,ASC Services,ORTHOPAEDIC SURGEON,F,180403,2018
376,01,ASC Services,ORTHOPAEDIC SURGEON,O,12658,2018
377,01,ASC Services,ORTHOPAEDIC SURGEON,UN,5461,2018
378,01,ASC Services,ORTHOPAEDIC SURGEON,W,5959,2018
379,01,ASC Services,OSTEOMANIPULATIVE,H,3410,2018
380,01,ASC Services,PAIN MANAGEMENT,CA,13841,2018
381,01,ASC Services,PAIN MANAGEMENT,F,9387,2018
382,01,ASC Services,PAIN MANAGEMENT,O,1256,2018
383,01,ASC Services,PAIN MANAGEMENT,S,6599,2018
384,01,ASC Services,PAIN MANAGEMENT,W,594,2018
385,01,ASC Services,PATHOLOG,B,1580,2018
386,01,ASC Services,PATHOLOG,CA,790,2018
387,01,ASC Services,PATHOLOG,F,9052,2018
388,01,ASC Services,PATHOLOG,O,1921,2018
389,01,ASC Services,PEDANE,W,261,2018
390,01,ASC Services,ANESTHESIA,S,302,2018
391,01,ASC Services,PHYS MEDICAL REHAB,F,841,2018
392,01,ASC Services,PHYSICAL MEDICAL REHAB,CO,1275,2018
393,01,ASC Services,PHYSICAL MEDICAL REHABILITATION,S,1212,2018
394,01,ASC Services,PHYSICAL THERAPEUTIC,UN,2247,2018
395,01,ASC Services,PLASTIC SURGEON,F,8474,2018
396,01,ASC Services,PODIATRIST,B,2003,2018
397,01,ASC Services,RADIOLOGY,S,380,2018
398,01,ASC Services,SPTMED,W,1055,2018
399,01,ASC Services,HAND SURGEON,S,2888,2018
400,01,ASC Services,AMBULANCE SURGICAL CENTER,H,234893,2018
401,01,ASC Services,UROGYNECOLOGY,F,5701,2018
402,01,ASC Services,UROLOGY,B,3425,2018
403,01,ASC Services,UROLOGY,F,20675,2018
404,01,ASC Services,UROLOGY,O,10938,2018
405,01,ASC Services,UROLOGY,UN,1896,2018
406,01,ASC Services,VISION,F,15234,2018
407,01,ASC Services,OTHER SPECIALITY,S,138,2018
408,01,ER Services,UNKNOWN,F,19434,2018
409,01,ER Services,UNKNOWN,H,412990,2018
410,01,ER Services,ADVANCED RN PRACT,CA,1359,2018
411,01,ER Services,ANESTHESIA,CA,903,2018
412,01,ER Services,ANESTHESIA,W,1425,2018
413,01,ER Services,ARNP,CA,13365,2018
414,01,ER Services,CARD ELECTROPHY,CA,30,2018
415,01,ER Services,CARDIAC,O,35,2018
416,01,ER Services,CARDIAC,W,40,2018
417,01,ER Services,CARDIAC,CA,483,2018
418,01,ER Services,CARDIAC,CO,28,2018
419,01,ER Services,CARDIAC,F,3561,2018
420,01,ER Services,CARDIAC,O,2916,2018
421,01,ER Services,CARDIAC,UN,29,2018
422,01,ER Services,CARDIAC,W,2412,2018
423,01,ER Services,CARDIAC,B,44,2018
424,01,ER Services,CARDIAC,F,287,2018
425,01,ER Services,CARDIAC,S,220,2018
426,01,ER Services,CARDIAC,CA,460,2018
427,01,ER Services,CARDIAC,CO,69,2018
428,01,ER Services,CLINIC,CA,214,2018
429,01,ER Services,CLINIC,CO,1149,2018
430,01,ER Services,CLMIS,CO,598,2018
431,01,ER Services,CRITICAL ACCESS,W,0,2018
432,01,ER Services,DIAG X RAY CLINIC,H,3660,2018
433,01,ER Services,RADIOLOGY,CA,10228,2018
434,01,ER Services,RADIOLOGY,CO,685,2018
435,01,ER Services,ELECTROPHY STUDY,CA,164,2018
